City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
243,mount gambier,-37.8333,140.7667,291.35,44,0,1.86,AU,1714705185
244,pamandzi,-12.7967,45.2794,302.03,79,40,5.14,YT,1714705185
245,puerto madryn,-42.7692,-65.0385,281.29,51,0,2.53,AR,1714704942
246,natal,-5.795,-35.2094,299.27,94,75,2.06,BR,1714704939
247,manismata,-2.4667,111.0333,301.39,83,100,1.32,ID,1714705185
248,tshikapa,-6.4167,20.8,292.55,70,65,0.94,CD,1714705186
249,lanxi,29.2195,119.477,290.07,78,100,1.15,CN,1714705186
250,loch garman,52.3342,-6.4575,282.54,100,100,3.58,IE,1714705186
251,nemuro,43.3236,145.575,283.05,66,18,6.45,JP,1714705186
252,lerwick,60.1545,-1.1494,282.15,87,3,6.22,GB,1714705186
253,hadibu,12.65,54.0333,302.59,79,84,2.66,YE,1714705187
254,la passe,45.5549,-0.8967,280.05,80,81,5.57,FR,1714705187
255,eyl,7.9803,49.8164,302.64,74,78,3.1,SO,1714705017
256,zambezi,-13.5432,23.1047,285.18,62,84,2.48,ZM,1714705187
257,konarka,19.9,86.1167,304.37,66,32,4.06,IN,1714705188
258,novodvinsk,64.4165,40.8122,265.81,95,89,1.28,RU,1714705188
259,quellon,-43.1167,-73.6167,280.59,84,100,3.55,CL,1714705188
260,bikenibeu village,1.3673,173.1241,301.6,75,38,2.37,KI,1714705188
261,castillos,-34.1667,-53.8333,281.73,82,1,2.27,UY,1714705188
262,kem',64.9555,34.5793,267.2,97,68,1.4,RU,1714705188
263,makhambet,47.6667,51.5833,286.22,47,47,1.38,KZ,1714705188
264,palmer,42.1584,-72.3287,286.23,76,87,0.45,US,1714705189
265,fada,9.5667,8.3,295.87,77,78,0.97,NG,1714705189
266,taungdwingyi,20.0167,95.55,305.13,53,40,2.15,MM,1714705189
267,sanya,18.2431,109.505,305.24,66,20,4.0,CN,1714705189
268,al mindak,20.1588,41.2834,287.93,41,0,1.11,SA,1714705189
269,boende,-0.2167,20.8667,295.27,95,100,0.5,CD,1714705189
270,colonia,50.9333,6.95,284.68,91,100,3.6,DE,1714705189
271,usinsk,65.9939,57.5281,264.86,90,100,4.02,RU,1714705190
272,taoudenni,22.6783,-3.9836,299.82,8,2,4.5,ML,1714705190
273,nizhneangarsk,55.7833,109.55,273.15,72,89,2.68,RU,1714705190
274,narail,23.1667,89.5,308.08,38,0,2.4,BD,1714705190
275,mogocha,53.7333,119.7667,282.74,31,92,2.25,RU,1714705190
276,mount barker,-35.0667,138.8667,291.6,47,0,3.28,AU,1714705191
277,yemva,62.59,50.8594,266.78,63,95,4.13,RU,1714705191
278,aswan,24.0934,32.907,299.76,21,0,2.57,EG,1714705191
279,nuku'alofa,-21.1333,-175.2,302.34,84,40,7.2,TO,1714705191
280,monrovia,6.3005,-10.7969,297.02,83,100,2.02,LR,1714705191
281,as sulayyil,20.4607,45.5779,299.29,51,0,1.6,SA,1714705191
282,gloucester,51.8657,-2.2431,282.55,95,100,0.89,GB,1714705191
283,punta arenas,-53.15,-70.9167,277.21,87,75,3.09,CL,1714705192
284,conception bay south,47.4999,-52.9981,275.86,98,100,2.51,CA,1714705192
285,fale old settlement,-9.3852,-171.2468,303.17,72,51,3.95,TK,1714705192
286,mitu,1.1983,-70.1733,297.37,98,100,1.01,CO,1714705141
287,prince rupert,54.3161,-130.3201,286.33,58,0,3.6,CA,1714705192
288,gongdanglegi kulon,-8.1753,112.6359,302.02,65,100,2.06,ID,1714705192
289,santanyi,39.3546,3.1291,284.22,80,22,4.03,ES,1714705193
290,mujiayingzi,42.1167,118.7833,295.93,16,63,5.98,CN,1714705193
291,floro,61.5996,5.0328,282.13,87,20,1.54,NO,1714705193
292,archangelos,36.2149,28.1149,291.14,83,0,6.76,GR,1714705193
293,bayanhongor,46.7167,100.1167,280.92,35,7,1.43,MN,1714705193
294,belyy yar,53.6039,91.3903,285.09,54,0,5.0,RU,1714705193
295,kalianget,-7.05,113.9333,302.6,72,98,4.74,ID,1714705193
296,sao joao do piaui,-8.3581,-42.2467,297.48,59,82,2.06,BR,1714705194
297,buka,40.8108,69.1986,293.62,38,100,2.17,UZ,1714705194
298,lusaka,-15.4067,28.2871,287.15,54,86,3.77,ZM,1714705194
299,semnan,35.5729,53.3971,288.41,52,98,0.72,IR,1714705194
300,brookings,44.3114,-96.7984,281.79,69,0,0.0,US,1714705083
301,galle,6.0367,80.217,303.44,75,22,1.53,LK,1714705194
302,antonio enes,-16.2325,39.9086,297.9,73,41,5.81,MZ,1714705195
303,tongging,2.8969,98.5262,294.66,80,100,1.6,ID,1714705195
304,vila franca do campo,37.7167,-25.4333,291.42,99,100,6.64,PT,1714705195
305,lebu,-37.6167,-73.65,281.1,82,2,3.03,CL,1714705195
306,maumere,-8.6199,122.2111,302.8,67,88,3.42,ID,1714705195
307,aras-asan,8.8908,126.3033,302.48,64,83,3.24,PH,1714705195
308,la peca,-5.6111,-78.435,294.91,86,76,1.53,PE,1714705195
309,santa cruz,-17.8,-63.1667,297.85,94,75,1.54,BO,1714705196
310,zindah jan,34.3426,61.7468,289.33,72,100,6.6,AF,1714705196
311,quelimane,-17.8786,36.8883,293.1,93,20,1.34,MZ,1714704919
312,alto araguaia,-17.3147,-53.2153,293.73,68,2,2.03,BR,1714705196
313,santa terezinha,-29.9002,-50.0904,292.99,91,100,5.4,BR,1714705196
314,robertsport,6.7533,-11.3686,300.85,83,100,2.86,LR,1714705196
315,ola,59.5833,151.2833,277.12,72,21,0.76,RU,1714705196
316,krasnovishersk,60.4078,57.082,271.83,65,84,3.22,RU,1714705197
317,salekhard,66.53,66.6019,259.48,85,100,2.24,RU,1714705197
318,zag,46.9441,99.165,282.99,21,0,3.77,MN,1714705197
319,mundemba,4.9479,8.8724,298.18,96,96,1.03,CM,1714705197
320,maxixe,-23.8597,35.3472,296.63,79,66,3.23,MZ,1714705197
321,manakara,-22.1333,48.0167,295.98,91,77,2.88,MG,1714705197
322,libreville,0.3925,9.4537,297.16,100,20,2.57,GA,1714705198
323,glace bay,46.1969,-59.957,278.57,95,100,7.72,CA,1714705198
324,karratha,-20.7377,116.8463,303.44,21,0,9.06,AU,1714705198
325,mattoon,39.4831,-88.3728,295.55,64,0,1.54,US,1714705140
326,port lincoln,-34.7333,135.8667,289.21,67,0,4.12,AU,1714705198
327,waounde,15.2637,-12.8682,304.98,11,0,5.01,SN,1714705198
328,bukoba,-1.3317,31.8122,292.98,93,100,2.76,TZ,1714705198
329,baganga,7.5739,126.56,303.29,61,99,3.43,PH,1714705199
330,saldanha,-33.0117,17.9442,287.18,78,99,3.73,ZA,1714705199
331,lihue,21.9789,-159.3672,297.21,76,100,6.28,US,1714705199
332,willmar,45.1219,-95.0433,282.12,87,0,3.09,US,1714705199
333,luga,58.7372,29.8453,275.88,79,88,1.13,RU,1714705199
334,puerto santa,-8.9906,-78.6456,292.57,90,48,3.1,PE,1714705199
335,cantanhede,-3.6333,-44.3767,296.95,98,46,1.02,BR,1714705200
336,harlan,41.653,-95.3255,282.04,82,10,2.28,US,1714705200
337,igarka,67.4667,86.5833,263.0,89,100,4.96,RU,1714705200
338,kavaratti,10.5669,72.642,302.85,67,100,3.14,IN,1714705200
339,toliara,-23.35,43.6667,292.62,88,0,4.69,MG,1714705200
340,unterhausen,47.8667,11.15,282.64,90,100,4.65,DE,1714705201
341,bafia,4.75,11.2333,294.99,99,100,0.86,CM,1714705202
342,genhe,50.7833,121.5167,287.5,18,100,4.16,CN,1714705202
343,tabou,4.423,-7.3528,299.53,86,100,1.42,CI,1714705203
344,union,40.6334,-74.2663,292.87,47,45,0.89,US,1714705204
345,thanh hoa,19.8,105.7667,304.39,65,48,3.77,VN,1714705204
346,mochudi,-24.4167,26.15,287.48,41,0,1.76,BW,1714705205
347,san luis de la loma,17.2706,-100.8939,299.82,63,99,3.04,MX,1714705206
348,kirkwall,58.9848,-2.9587,281.18,93,0,2.06,GB,1714705206
349,christchurch,-43.5333,172.6333,286.95,64,40,6.17,NZ,1714705040
350,kidal,18.4411,1.4078,303.8,14,39,4.84,ML,1714705207
351,botro,7.8525,-5.3106,299.86,86,98,1.74,CI,1714705208
352,tsiombe,-25.3,45.4833,293.98,85,68,1.27,MG,1714705208
353,puerto deseado,-47.7503,-65.8938,277.97,62,2,4.55,AR,1714705208
354,laubach,50.542,8.9903,285.32,92,100,4.95,DE,1714705209
355,nueva gerona,21.8833,-82.8,299.88,68,5,4.08,CU,1714705209
356,port macquarie,-31.4333,152.9167,294.2,52,38,3.4,AU,1714705209
357,golbasi,37.7836,37.6367,288.37,64,72,2.67,TR,1714705209
358,dzhangala,49.2167,50.3333,285.82,49,51,1.78,KZ,1714705209
359,hirara,24.8,125.2833,300.3,78,40,4.12,JP,1714705210
360,klaksvik,62.2266,-6.589,284.66,96,92,4.17,FO,1714705210
361,pico truncado,-46.7949,-67.9573,276.75,61,67,4.44,AR,1714705210
362,bohmte,52.3667,8.3167,287.67,86,68,4.45,DE,1714705210
363,cam ranh,11.9214,109.1591,306.13,58,0,3.09,VN,1714705211
364,sillamae,59.3997,27.7547,276.88,77,56,2.63,EE,1714705005
365,santa ana de yacuma,-13.75,-65.4333,300.69,68,88,1.87,BO,1714705211
366,gizo,-8.103,156.8419,302.01,78,65,0.91,SB,1714705211
367,puerto baquerizo moreno,-0.9,-89.6,297.23,87,96,2.85,EC,1714705210
368,san pedro pochutla,15.7333,-96.4667,300.4,76,100,2.86,MX,1714705212
369,swan hill,-35.3378,143.5544,291.26,52,99,2.18,AU,1714705212
